,average_speed,max_speed,average_heartrate,max_heartrate,distance,elapsed_time,moving_time,total_elevation_gain,elev_high,type,start_date_local,start_latitude,start_longitude,kudos_count
225,3.764,5.8,,,1934.8,0:08:34,0:08:34,12.2,104.7,Run,2020-01-23T07:04:58,30.624604,-96.344063,4
226,3.757,9.5,,,3411.4,0:15:32,0:15:08,24.8,110.3,Run,2020-01-22T12:57:39,30.624678,-96.344023,2
227,3.743,5.6,,,3383.5,0:15:04,0:15:04,24.2,110.3,Run,2020-01-21T07:34:16,30.624563,-96.344062,3
228,3.92,5.6,,,3237.7,0:13:46,0:13:46,26.5,110.3,Run,2020-01-20T09:05:48,30.624686,-96.343972,3
229,4.015,6.6,,,1951.1,0:08:06,0:08:06,12.0,104.7,Run,2020-01-19T08:15:56,30.624665,-96.344069,3
230,3.719,11.9,,,3317.5,0:14:57,0:14:52,26.4,110.3,Run,2020-01-18T11:12:31,30.624418,-96.343993,6
231,3.875,6.1,,,1856.0,0:08:34,0:07:59,11.2,104.7,Run,2020-01-17T07:34:07,30.624592,-96.344105,5
232,3.661,5.9,,,3705.4,0:17:01,0:16:52,26.3,110.3,Run,2020-01-16T07:22:38,30.624646,-96.343996,6
233,3.828,5.8,,,1921.7,0:08:22,0:08:22,10.1,104.7,Run,2020-01-15T07:30:11,30.624544,-96.344066,5
234,3.796,5.4,,,2323.1,0:10:12,0:10:12,16.3,108.2,Run,2020-01-14T07:21:12,30.624661,-96.343909,6
235,3.725,7.0,,,1951.8,0:08:44,0:08:44,8.2,104.7,Run,2020-01-13T07:27:08,30.62452,-96.344114,4
236,3.905,5.8,,,1968.0,0:08:24,0:08:24,12.1,104.7,Run,2020-01-12T07:50:37,30.624607,-96.344068,4
237,3.768,5.5,,,1722.2,0:07:37,0:07:37,16.3,149.7,Run,2020-01-11T08:26:26,32.973227,-96.971109,3
238,3.892,5.8,,,1747.6,0:07:29,0:07:29,16.2,149.7,Run,2020-01-10T10:19:25,32.973263,-96.971124,4
239,3.499,4.9,,,1948.7,0:09:17,0:09:17,13.6,149.7,Run,2020-01-09T08:37:33,32.973284,-96.971148,2
240,4.008,5.5,,,1707.2,0:07:06,0:07:06,16.2,149.7,Run,2020-01-08T11:13:50,32.973298,-96.971216,2
241,4.068,6.2,,,1753.5,0:07:11,0:07:11,16.1,149.7,Run,2020-01-07T11:20:12,32.973375,-96.971206,2
242,4.21,6.2,,,1721.8,0:06:49,0:06:49,16.2,149.7,Run,2020-01-06T09:51:16,32.973318,-96.971158,0
243,3.675,6.7,,,1734.6,0:07:52,0:07:52,16.1,149.6,Run,2020-01-05T10:35:20,32.973368,-96.97109,2
244,3.59,5.9,,,1619.1,0:07:31,0:07:31,17.4,149.6,Run,2020-01-04T11:52:34,32.973277,-96.971133,2
245,3.723,5.6,,,3585.7,0:16:03,0:16:03,20.4,153.6,Run,2020-01-03T12:28:26,32.973197,-96.971149,1
246,3.422,8.0,,,8627.8,0:42:01,0:42:01,26.2,146.8,Run,2020-01-02T12:46:42,32.973251,-96.971146,2
247,4.185,7.1,,,1615.3,0:06:26,0:06:26,16.1,149.6,Run,2020-01-01T13:02:03,32.973289,-96.971154,1
248,4.007,6.6,,,1698.9,0:07:04,0:07:04,16.2,149.7,Run,2019-12-31T11:07:50,32.973277,-96.971152,3
249,5.186,14.1,,,1618.0,0:05:12,0:05:12,0.0,147.4,Run,2019-12-30T11:54:44,32.972691,-96.97368,3
250,3.627,5.7,,,5129.0,0:23:34,0:23:34,35.1,153.6,Run,2019-12-29T12:34:21,32.973235,-96.971129,2
251,3.557,5.7,,,1629.3,0:07:38,0:07:38,13.5,149.6,Run,2019-12-28T20:44:28,32.97328,-96.971147,1
252,3.494,6.1,,,1621.0,0:07:44,0:07:44,5.2,138.7,Run,2019-12-27T11:09:46,32.982322,-96.980028,0
253,3.174,5.8,,,3418.3,0:17:57,0:17:57,6.3,139.3,Run,2019-12-27T10:46:52,32.982324,-96.979566,3
254,3.919,6.0,,,1618.6,0:06:53,0:06:53,0.0,146.7,Run,2019-12-27T10:30:12,32.973253,-96.971157,0
255,3.265,8.1,,,1929.9,0:09:51,0:09:51,19.0,149.7,Run,2019-12-26T13:08:34,32.97329,-96.971086,1
256,3.049,10.6,,,16171.3,1:28:30,1:28:24,49.6,146.8,Run,2019-12-25T14:06:31,32.973315,-96.971131,3
257,4.306,6.2,,,1623.4,0:06:17,0:06:17,0.0,147.4,Run,2019-12-24T12:22:51,32.972558,-96.973748,1
258,3.544,6.1,,,1882.0,0:08:51,0:08:51,15.9,149.6,Run,2019-12-23T11:42:08,32.973282,-96.971178,0
259,3.589,6.5,,,4996.3,0:23:12,0:23:12,32.9,153.6,Run,2019-12-22T12:26:08,32.973288,-96.971122,2
260,4.341,6.9,,,1614.9,0:06:12,0:06:12,9.3,149.6,Run,2019-12-21T10:53:27,32.973308,-96.971141,3
261,3.444,5.2,,,1677.2,0:08:07,0:08:07,11.4,149.6,Run,2019-12-20T11:15:39,32.972977,-96.969995,1
262,3.553,5.2,,,6676.6,0:31:19,0:31:19,17.1,149.6,Run,2019-12-19T13:31:37,32.973295,-96.971138,1
263,3.644,5.8,,,3589.7,0:16:25,0:16:25,20.4,153.6,Run,2019-12-18T13:19:32,32.973256,-96.971111,0
264,3.588,5.5,,,9989.6,0:46:24,0:46:24,32.9,139.3,Run,2019-12-17T18:03:42,32.979857,-96.986218,2
265,3.784,8.7,,,3227.8,0:14:13,0:14:13,26.7,110.3,Run,2019-12-16T11:34:59,30.624505,-96.344037,2
266,3.948,5.8,,,2605.9,0:11:00,0:11:00,23.7,110.3,Run,2019-12-11T15:37:08,30.624564,-96.344054,1
267,3.827,6.0,,,5009.8,0:21:49,0:21:49,36.9,110.3,Run,2019-12-10T17:58:20,30.624641,-96.344091,1
268,3.974,5.8,,,1911.4,0:08:01,0:08:01,12.5,104.7,Run,2019-12-09T17:05:02,30.624603,-96.344038,2
269,4.045,5.9,,,1860.7,0:07:40,0:07:40,11.6,104.7,Run,2019-12-08T18:51:54,30.624578,-96.344081,0
270,4.023,0.0,,,3218.7,0:13:20,0:13:20,0.0,,Run,2019-12-07T18:05:46,,,1
271,3.97,6.4,,,3294.7,0:13:50,0:13:50,26.7,110.3,Run,2019-12-06T17:12:17,30.624623,-96.344056,0
272,3.965,5.7,,,3279.2,0:13:47,0:13:47,26.7,110.3,Run,2019-12-05T18:59:43,30.624652,-96.344117,0
273,4.214,8.0,,,1934.4,0:07:39,0:07:39,14.0,104.7,Run,2019-12-04T18:26:26,30.624591,-96.344076,0
274,3.782,7.0,,,5321.7,0:23:27,0:23:27,39.9,110.3,Run,2019-12-03T17:38:08,30.624641,-96.344053,0
275,3.896,6.0,,,3234.0,0:13:50,0:13:50,27.1,110.3,Run,2019-12-02T17:09:16,30.624657,-96.344073,0
276,4.123,6.5,,,2098.8,0:08:29,0:08:29,14.1,104.7,Run,2019-12-01T17:13:06,30.624618,-96.344048,0
277,2.879,6.3,,,24245.1,2:20:20,2:20:20,74.9,148.2,Run,2019-11-30T13:57:50,32.982188,-96.980295,1
